버스정류장ARS번호,longitude,latitude,역명,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,정류소,퇴근시간대승차총승객수,퇴근시간대하차총승객수
18114,126.8878763257,37.4776616914,금천패션아울렛사거리.W몰,75515,21275,86132,24197,61693,15283,금천패션아울렛사거리.W몰(18114),223340,60755
18115,126.8883541994,37.4779324756,금천패션아울렛사거리.현대아울렛,31229,8223,29539,9762,25264,7107,금천패션아울렛사거리.현대아울렛(18115),86032,25092
18116,126.8907157886,37.4782104216,디지털단지오거리,13222,9023,21164,12360,13306,9423,디지털단지오거리(18116),47692,30806
18117,126.8910369867,37.4781530475,디지털단지오거리,6710,4906,7812,4861,4906,4144,디지털단지오거리(18117),19428,13911
18118,126.8933260802,37.4785354028,디지털단지오거리,44403,23647,64951,28296,36726,24581,디지털단지오거리(18118),146080,76524
18119,126.895556221,37.4782346236,가산초등학교,24018,18736,28192,23750,24455,16169,가산초등학교(18119),76665,58655
18120,126.8920986539,37.4766122299,가산동주민센터.금천글로벌센터,8276,7367,10586,10731,5989,8221,가산동주민센터.금천글로벌센터(18120),24851,26319
18121,126.8927187826,37.4762442423,가산동주민센터.금천글로벌센터,4596,4649,5479,5688,4302,4300,가산동주민센터.금천글로벌센터(18121),14377,14637
18122,126.8939435342,37.4744665646,구립가산도서관.두산위브아파트,7465,6955,10968,9803,7337,7798,구립가산도서관.두산위브아파트(18122),25770,24556
18123,126.8946418527,37.4739535588,구립가산도서관.두산위브아파트,4929,4346,6450,4883,5339,3740,구립가산도서관.두산위브아파트(18123),16718,12969
18124,126.8959042132,37.4719001549,독산사거리,5346,11230,8456,14662,7047,11102,독산사거리(18124),20849,36994
18125,126.8965996871,37.4717836217,독산사거리,8163,3880,7924,4488,6881,3113,독산사거리(18125),22968,11481
18126,126.8876203011,37.4568440695,독산주공13단지,3291,14628,2722,17528,2431,24649,독산주공13단지(18126),8444,56805
18127,126.8882116765,37.4567130685,독산1동한신코아,15560,3478,11775,3349,6745,2440,독산1동한신코아(18127),34080,9267
18128,126.886862144,37.4611353257,독산주공14단지,138,6730,198,9705,218,11774,독산주공14단지(18128),554,28209
18129,126.8870890048,37.461371633,독산주공14단지,4777,276,4570,241,2872,260,독산주공14단지(18129),12219,777
18130,126.884305047,37.464113715,독산근린공원,281,12917,652,20082,451,22131,독산근린공원(18130),1384,55130
18131,126.884406111,37.4645544555,독산근린공원,8968,556,13075,530,5657,417,독산근린공원(18131),27700,1503
18132,126.895025251,37.4665936596,독산동우시장,11944,14185,14090,18004,10750,20252,독산동우시장(18132),36784,52441
18133,126.8956688165,37.4663743593,독산동우시장,20166,12833,21900,14386,14838,8188,독산동우시장(18133),56904,35407
18134,126.8995917841,37.454485357,시흥사거리.시흥대교,34613,24089,49614,35527,44841,33907,시흥사거리.시흥대교(18134),129068,93523
18135,126.8996880795,37.4542966797,시흥사거리.금천파출소,2254,10847,2416,13862,2293,8766,시흥사거리.금천파출소(18135),6963,33475
18136,126.9207601084,37.4527573711,벽산아파트1단지.호압사입구,2607,35588,3048,50808,1935,54570,벽산아파트1단지.호압사입구(18136),7590,140966
18137,126.9211998157,37.4527387418,벽산아파트1단지.호압사입구,27645,2690,30128,3031,20669,2684,벽산아파트1단지.호압사입구(18137),78442,8405
18138,126.9188451168,37.4467195351,벽산아파트5단지,510,7426,413,10918,311,14021,벽산아파트5단지(18138),1234,32365
18139,126.9187834647,37.4462482119,벽산아파트5단지,6598,1268,5423,1374,2905,1659,벽산아파트5단지(18139),14926,4301
18140,126.909045481,37.4510305202,시흥동은행나무.은행나무시장,23042,115,24378,116,16834,84,시흥동은행나무.은행나무시장(18140),64254,315
18141,126.909058,37.450843,시흥동은행나무.은행나무시장,235,52424,320,70570,305,72680,시흥동은행나무.은행나무시장(18141),860,195674
18142,126.9072078502,37.4517842218,은행나무입구사거리,7778,273,7730,295,5591,317,은행나무입구사거리(18142),21099,885
18143,126.906735,37.451855,은행나무입구사거리,308,21620,329,22584,263,22348,은행나무입구사거리(18143),900,66552
18144,126.8901266465,37.4562533549,독산한신아파트,3160,10441,2560,16221,1530,17612,독산한신아파트(18144),7250,44274
18145,126.8912356248,37.4545220156,금하마을,2477,191,2267,251,1593,112,금하마을(18145),6337,554
18146,126.8983185768,37.475665277,독산고개,5246,14504,4894,17686,4267,15768,독산고개(18146),14407,47958
18147,126.8989475641,37.4762470299,독산고개,20930,8596,24389,10391,15735,7262,독산고개(18147),61054,26249
18148,126.8980256208,37.4724237454,독산사거리.한국전력구로금천지사,3448,6473,3246,7088,1785,6957,독산사거리.한국전력구로금천지사(18148),8479,20518
18149,126.8986308908,37.47296493,남문시장.청춘삘딩,24020,10131,28690,9817,21984,7630,남문시장.청춘삘딩(18149),74694,27578
18150,126.8977875081,37.4704375006,금천우체국.독산1동주민센터,13678,12646,16428,19094,14304,17554,금천우체국.독산1동주민센터(18150),44410,49294
18151,126.8887176658,37.4796303774,디지털단지오거리.가산파출소,33617,21841,67285,24773,39788,19315,디지털단지오거리.가산파출소(18151),140690,65929
18152,126.8976467771,37.4691022189,홈플러스금천점,17602,12918,20089,15301,17455,13755,홈플러스금천점(18152),55146,41974
18153,126.8981744044,37.4685923676,홈플러스금천점,3450,7662,5305,7092,4279,5319,홈플러스금천점(18153),13034,20073
18160,126.9007975435,37.4529756887,시흥사거리,3140,4901,3479,7155,2703,4437,시흥사거리(18160),9322,16493
18162,126.9016623614,37.4508994421,문일고입구,1514,1158,1897,1597,1962,1330,문일고입구(18162),5373,4085
18163,126.9023183704,37.4508025778,문일고입구,2363,2506,2595,2400,1845,1841,문일고입구(18163),6803,6747
18164,126.903282091,37.446725847,남서울힐스테이트.국립전통예술고,69,3480,140,3655,180,3457,남서울힐스테이트.국립전통예술고(18164),389,10592
18165,126.9035170378,37.4477127549,금천폭포공원.천주교시흥성당,2517,486,3036,559,2217,230,금천폭포공원.천주교시흥성당(18165),7770,1275
18166,126.9031780644,37.44150022,박미마을,15,6465,39,8376,18,8067,박미마을(18166),72,22908
18167,126.9039638048,37.4432120532,박미마을,6546,294,9742,495,4926,312,박미마을(18167),21214,1101
18168,126.9029828892,37.4394878782,기아대교,2,813,0,821,3,880,기아대교(18168),5,2514
18169,126.9036271602,37.4401670279,시흥3동주민센터,3056,313,3768,203,2521,242,시흥3동주민센터(18169),9345,758
18170,126.9033111984,37.4355241561,석수역,8324,44,10318,43,6082,51,석수역(18170),24724,138
18171,126.9039779583,37.4487629236,백산초등학교,4399,11349,3909,11668,3056,9559,백산초등학교(18171),11364,32576
18172,126.9042290499,37.4486234553,백산초등학교,16861,10608,20957,15229,19563,15129,백산초등학교(18172),57381,40966
18173,126.9057879216,37.4511117717,은행나무입구사거리,2000,9495,2235,11399,1938,11663,은행나무입구사거리(18173),6173,32557
18174,126.9060589119,37.4513327593,은행나무입구사거리,4794,5110,5256,7254,4671,4776,은행나무입구사거리(18174),14721,17140
18175,126.9062606441,37.4536154301,경남아파트,22736,5847,23694,8018,19430,6270,경남아파트(18175),65860,20135
18176,126.9058231484,37.4545675549,시흥초등학교,4660,26330,5025,33730,5015,36433,시흥초등학교(18176),14700,96493
18177,126.905944241,37.4553525174,시흥초등학교.금천구보훈회관,12967,6224,10974,7531,8432,5848,시흥초등학교.금천구보훈회관(18177),32373,19603
18178,126.9052838667,37.4573470454,동산교회앞,7241,29933,7481,37620,6091,40869,동산교회앞(18178),20813,108422
18179,126.9056143381,37.457026515,동산교회앞,17727,13791,16090,15290,12389,13028,동산교회앞(18179),46206,42109
18180,126.9048243385,37.4596021512,현대시장.시흥4동주민센터,21094,56978,21225,64266,16727,63699,현대시장.시흥4동주민센터(18180),59046,184943
18181,126.9051695693,37.4592401831,현대시장.시흥4동주민센터,52774,17344,52524,20380,36808,16260,현대시장.시흥4동주민센터(18181),142106,53984
18182,126.9041539527,37.462302231,남부여성발전센터,11342,51506,11395,62943,9858,67415,남부여성발전센터(18182),32595,181864
18183,126.9043527136,37.4624573826,남부여성발전센터,21960,25312,19779,29768,16465,23969,남부여성발전센터(18183),58204,79049
18184,126.9020698412,37.4654381798,독산동정훈단지,37520,82711,43107,101252,41901,110423,독산동정훈단지(18184),122528,294386
18185,126.9030060331,37.464452239,독산동정훈단지,40259,20189,38207,21663,31726,16439,독산동정훈단지(18185),110192,58291
18186,126.8997169452,37.466538261,독산초등학교,477,2537,532,2543,518,2084,독산초등학교(18186),1527,7164
18187,126.900032656,37.4663141528,독산초등학교,2076,14093,2480,18679,2169,18523,독산초등학교(18187),6725,51295
18188,126.9019814332,37.467345751,독산4동주민센터,23509,12395,22389,13690,21012,10528,독산4동주민센터(18188),66910,36613
18189,126.9022258423,37.4689156821,독산동성당앞,15666,37024,16827,43617,16091,47179,독산동성당앞(18189),48584,127820
18190,126.9027437373,37.4697072815,독산동성당앞,20544,12315,19548,13405,17157,10251,독산동성당앞(18190),57249,35971
18191,126.9029463536,37.4712654618,독산동쌈지공원,15759,34151,17733,39746,17941,44520,독산동쌈지공원(18191),51433,118417
18192,126.9031805022,37.4711737409,독산동쌈지공원,18072,15024,18666,19446,17538,16441,독산동쌈지공원(18192),54276,50911
18193,126.9033549166,37.4753270832,독산3동주민센터,9936,37845,10437,42962,9181,48245,독산3동주민센터(18193),29554,129052
18194,126.9036414631,37.4758229255,독산3동주민센터,26280,17418,23249,21523,22635,18197,독산3동주민센터(18194),72164,57138
18195,126.9036963865,37.4788389714,모두의학교.금천문화예술정보학교,39110,52853,43925,60225,40381,65647,모두의학교.금천문화예술정보학교(18195),123416,178725
18196,126.9039351937,37.4786589447,모두의학교.금천문화예술정보학교,23702,16831,22204,17063,17750,14118,모두의학교.금천문화예술정보학교(18196),63656,48012
18197,126.9055934267,37.4799497631,모두의학교.금천문화예술정보학교,71787,98179,84300,128941,71358,105407,모두의학교.금천문화예술정보학교(18197),227445,332527
18198,126.9087572914,37.480638846,관악구보훈회관.신림푸르지오,53350,37080,54491,49228,40695,40959,관악구보훈회관.신림푸르지오(18198),148536,127267
18199,126.9111177942,37.477250616,독산고등학교,2375,5851,2250,8060,1761,9924,독산고등학교(18199),6386,23835
18200,126.9116121885,37.4770861994,독산고등학교,3195,3022,3210,4611,3061,4588,독산고등학교(18200),9466,12221
18201,126.9070949887,37.4768710399,독산3치안센터.꿈꾸는나무,1435,2960,1270,4332,1335,5423,독산3치안센터.꿈꾸는나무(18201),4040,12715
18202,126.9073310231,37.4765368492,독산3치안센터.꿈꾸는나무,1845,2988,2035,4042,1922,4102,독산3치안센터.꿈꾸는나무(18202),5802,11132
18203,126.8972649852,37.4697576129,금천우체국.독산1동주민센터,17510,2477,24052,2408,14692,1782,금천우체국.독산1동주민센터(18203),56254,6667
18204,126.8924286434,37.4704156228,진도아파트,4112,1312,6423,1967,3612,1932,진도아파트(18204),14147,5211
18205,126.8860547622,37.4747106295,제일모직아울렛,1664,736,2178,754,957,327,제일모직아울렛(18205),4799,1817
18206,126.8852483694,37.4765761338,벽산디지털밸리,2345,1856,2624,2020,1606,804,벽산디지털밸리(18206),6575,4680
18207,126.8843811699,37.4785459121,마리오아울렛,1523,4920,2057,6705,1423,3252,마리오아울렛(18207),5003,14877
18208,126.8841438228,37.480679497,국민연금공단.구로금천지사앞,4553,13094,8118,18930,6321,11208,국민연금공단.구로금천지사앞(18208),18992,43232
18209,126.8828710961,37.4811044649,가산디지털단지역,35767,456,56764,503,34713,372,가산디지털단지역(18209),127244,1331
18210,126.8838717978,37.4789085581,마리오아울렛,9351,730,14470,853,9223,609,마리오아울렛(18210),33044,2192
18211,126.8849973673,37.4763514201,벽산디지털밸리,5274,80,7995,140,4075,78,벽산디지털밸리(18211),17344,298
18212,126.8859073098,37.4742761541,제일모직아울렛,1384,281,1434,430,902,424,제일모직아울렛(18212),3720,1135
18213,126.8923170276,37.4701992555,진도아파트,1307,2825,1767,3714,1250,4091,진도아파트(18213),4324,10630
18214,126.8957251563,37.469763473,현대지식산업센터,2451,4364,2508,5735,2255,4752,현대지식산업센터(18214),7214,14851
18215,126.8867860601,37.4813380488,가산디지털단지역입구,18972,11367,40648,11340,20603,7260,가산디지털단지역입구(18215),80223,29967
18216,126.8752549755,37.4852270318,가산동기점,2813,64,2902,300,1978,133,가산동기점(18216),7693,497
18217,126.8749706613,37.4851695661,가산동종점,5,2335,13,3698,11,7047,가산동종점(18217),29,13080
18219,126.9117906371,37.4504914153,범일운수종점,35112,515,35278,723,17996,596,범일운수종점(18219),88386,1834
18220,126.909455,37.462545,삼익아파트앞,16035,945,12701,1065,9826,1289,삼익아파트앞(18220),38562,3299
18221,126.909395,37.462425,삼익아파트,54,21409,71,28574,117,38028,삼익아파트(18221),242,88011
18222,126.8789631022,37.4833271564,디지털3단지.영창실업,14,824,55,1255,44,1515,디지털3단지.영창실업(18222),113,3594
18223,126.879898513,37.4796263717,디지털3단지.한일합섬,88,660,149,549,148,451,디지털3단지.한일합섬(18223),385,1660
18224,126.8780589385,37.482356638,디지털3단지운동장,21,599,31,748,24,855,디지털3단지운동장(18224),76,2202
18225,126.9008468962,37.4712411911,남문시장입구,1149,1160,1210,1013,891,829,남문시장입구(18225),3250,3002
18226,126.8831137266,37.4814101798,가산디지털단지역,54,10407,58,13826,43,12042,가산디지털단지역(18226),155,36275
18227,126.8849702923,37.481231921,스타밸리앞,19,3194,27,3411,14,2000,스타밸리앞(18227),60,8605
18228,126.903170701,37.4735130055,독산동남문시장,8697,31412,8399,35326,9995,36898,독산동남문시장(18228),27091,103636
18229,126.9034139964,37.4733474011,독산동남문시장,25321,11180,23507,13840,25765,11498,독산동남문시장(18229),74593,36518
18230,126.8886447169,37.4705744545,경성산업사,598,257,1117,290,462,248,경성산업사(18230),2177,795
18231,126.8830440826,37.4767613083,BYC하이시티,167,16,265,34,188,11,BYC하이시티(18231),620,61
18232,126.9042968029,37.4531074327,금빛공원앞,1761,4339,1958,5084,1905,4195,금빛공원앞(18232),5624,13618
18233,126.9044559572,37.4532796733,금빛공원앞,2892,2108,3001,2214,2224,2104,금빛공원앞(18233),8117,6426
18234,126.9040103136,37.4502786838,경동택배,815,998,619,1314,434,904,경동택배(18234),1868,3216
18235,126.9034550963,37.4500039965,삼화약국,80,1935,79,2501,77,2595,삼화약국(18235),236,7031
18236,126.9065092253,37.4507504041,대우당약국,132,10833,148,16034,216,16293,대우당약국(18236),496,43160
18237,126.9061589552,37.4508696683,화인전자산업,345,29,317,32,112,19,화인전자산업(18237),774,80
18238,126.9079435086,37.4509918205,은행나무로입구,13184,666,10346,610,6861,342,은행나무로입구(18238),30391,1618
18239,126.8972682538,37.4532803888,시흥대교,11611,19442,21759,23718,7733,12400,시흥대교(18239),41103,55560
18240,126.881068753,37.4817929109,가산디지털단지역1호선,15990,1426,19547,1508,21469,1545,가산디지털단지역1호선(18240),57006,4479
18598,126.8897106548,37.4704852059,시흥모터스,876,337,1043,493,373,428,시흥모터스(18598),2292,1258
18657,126.904875,37.462637,남부여성발전센터앞,625,9072,582,10295,617,12174,남부여성발전센터앞(18657),1824,31541
18658,126.9052341715,37.4626887764,남부여성발전센터앞,2649,1162,2118,1059,1432,838,남부여성발전센터앞(18658),6199,3059
18699,126.8874417824,37.4778165267,금천패션아울렛사거리.마리오,5360,1963,6094,2491,7084,1736,금천패션아울렛사거리.마리오(18699),18538,6190
18708,126.9115277806,37.4502145993,범일운수종점,46,22091,108,32012,105,36052,범일운수종점(18708),259,90155
18740,126.90774839,37.4626132704,한울중학교,2932,181,2658,137,1668,116,한울중학교(18740),7258,434
18741,126.907302,37.462522,한울중학교,22,6576,28,9131,42,11982,한울중학교(18741),92,27689
18776,126.902729236,37.434643292,석수역,46092,58237,62732,83844,49603,62655,석수역(18776),158427,204736
18777,126.9033101325,37.4337174251,석수역,78546,26398,103601,31128,75136,23579,석수역(18777),257283,81105
18994,126.9001178234,37.4711270377,남문시장입구.청춘삘딩,1129,2763,1707,4685,1771,3534,남문시장입구.청춘삘딩(18994),4607,10982
